year,district,avg_income
2000,Amager Vest,156386.0
2000,Amager Øst,158624.0
2000,Bispebjerg,151076.0
2000,Brønshøj-Husum,162206.0
2000,Indre By,204350.0
2000,Nørrebro,149636.0
2000,Valby,163279.0
2000,Vanløse,176093.0
2000,Vesterbro-Kongens Enghave,151959.0
2000,Østerbro,185254.0
2001,Amager Vest,162951.0
2001,Amager Øst,166102.0
2001,Bispebjerg,158035.0
2001,Brønshøj-Husum,169065.0
2001,Indre By,214142.0
2001,Nørrebro,156815.0
2001,Valby,170287.0
2001,Vanløse,184385.0
2001,Vesterbro-Kongens Enghave,159003.0
2001,Østerbro,194146.0
2002,Amager Vest,167013.0
2002,Amager Øst,169966.0
2002,Bispebjerg,161908.0
2002,Brønshøj-Husum,173774.0
2002,Indre By,217677.0
2002,Nørrebro,159826.0
2002,Valby,174405.0
2002,Vanløse,189283.0
2002,Vesterbro-Kongens Enghave,163857.0
2002,Østerbro,197733.0
2003,Amager Vest,170857.0
2003,Amager Øst,173757.0
2003,Bispebjerg,164948.0
2003,Brønshøj-Husum,178981.0
2003,Indre By,221738.0
2003,Nørrebro,163361.0
2003,Valby,178543.0
2003,Vanløse,192976.0
2003,Vesterbro-Kongens Enghave,168066.0
2003,Østerbro,201423.0
2004,Amager Vest,176206.0
2004,Amager Øst,178141.0
2004,Bispebjerg,167861.0
2004,Brønshøj-Husum,181994.0
2004,Indre By,227472.0
2004,Nørrebro,165377.0
2004,Valby,182438.0
2004,Vanløse,196404.0
2004,Vesterbro-Kongens Enghave,172369.0
2004,Østerbro,204209.0
2005,Amager Vest,184950.0
2005,Amager Øst,183689.0
2005,Bispebjerg,172770.0
2005,Brønshøj-Husum,187677.0
2005,Indre By,235383.0
2005,Nørrebro,170265.0
2005,Valby,188527.0
2005,Vanløse,202791.0
2005,Vesterbro-Kongens Enghave,178966.0
2005,Østerbro,211761.0
2006,Amager Vest,192536.0
2006,Amager Øst,189849.0
2006,Bispebjerg,179371.0
2006,Brønshøj-Husum,193810.0
2006,Indre By,243263.0
2006,Nørrebro,176675.0
2006,Valby,194685.0
2006,Vanløse,209347.0
2006,Vesterbro-Kongens Enghave,187060.0
2006,Østerbro,216774.0
2007,Amager Vest,201343.0
2007,Amager Øst,197153.0
2007,Bispebjerg,186419.0
2007,Brønshøj-Husum,198632.0
2007,Indre By,250515.0
2007,Nørrebro,181778.0
2007,Valby,202677.0
2007,Vanløse,216162.0
2007,Vesterbro-Kongens Enghave,195631.0
2007,Østerbro,225286.0
2008,Amager Vest,209245.0
2008,Amager Øst,202575.0
2008,Bispebjerg,190239.0
2008,Brønshøj-Husum,203281.0
2008,Indre By,258185.0
2008,Nørrebro,185012.0
2008,Valby,207084.0
2008,Vanløse,222457.0
2008,Vesterbro-Kongens Enghave,201373.0
2008,Østerbro,231624.0
2009,Amager Vest,213288.0
2009,Amager Øst,205551.0
2009,Bispebjerg,192450.0
2009,Brønshøj-Husum,206140.0
2009,Indre By,252826.0
2009,Nørrebro,187782.0
2009,Valby,209909.0
2009,Vanløse,224518.0
2009,Vesterbro-Kongens Enghave,207523.0
2009,Østerbro,233341.0
2010,Amager Vest,226401.0
2010,Amager Øst,215314.0
2010,Bispebjerg,197932.0
2010,Brønshøj-Husum,218394.0
2010,Indre By,274034.0
2010,Nørrebro,192432.0
2010,Valby,220811.0
2010,Vanløse,235714.0
2010,Vesterbro-Kongens Enghave,217571.0
2010,Østerbro,247640.0
2011,Amager Vest,230841.0
2011,Amager Øst,217404.0
2011,Bispebjerg,197060.0
2011,Brønshøj-Husum,220309.0
2011,Indre By,279330.0
2011,Nørrebro,194413.0
2011,Valby,224120.0
2011,Vanløse,237062.0
2011,Vesterbro-Kongens Enghave,221221.0
2011,Østerbro,251095.0
2012,Amager Vest,236431.0
2012,Amager Øst,220974.0
2012,Bispebjerg,199794.0
2012,Brønshøj-Husum,223448.0
2012,Indre By,281869.0
2012,Nørrebro,198603.0
2012,Valby,227957.0
2012,Vanløse,242139.0
2012,Vesterbro-Kongens Enghave,227195.0
2012,Østerbro,257154.0
2013,Amager Vest,240739.0
2013,Amager Øst,223053.0
2013,Bispebjerg,199514.0
2013,Brønshøj-Husum,223200.0
2013,Indre By,289404.0
2013,Nørrebro,199726.0
2013,Valby,229443.0
2013,Vanløse,244480.0
2013,Vesterbro-Kongens Enghave,230258.0
2013,Østerbro,259440.0
2014,Amager Vest,244563.0
2014,Amager Øst,225653.0
2014,Bispebjerg,200636.0
2014,Brønshøj-Husum,224470.0
2014,Indre By,297512.0
2014,Nørrebro,202996.0
2014,Valby,232098.0
2014,Vanløse,247582.0
2014,Vesterbro-Kongens Enghave,235805.0
2014,Østerbro,264149.0
2015,Amager Vest,250868.0
2015,Amager Øst,231810.0
2015,Bispebjerg,203523.0
2015,Brønshøj-Husum,229342.0
2015,Indre By,302022.0
2015,Nørrebro,209144.0
2015,Valby,239248.0
2015,Vanløse,252004.0
2015,Vesterbro-Kongens Enghave,240986.0
2015,Østerbro,275129.0
2016,Amager Vest,259349.0
2016,Amager Øst,241169.0
2016,Bispebjerg,208700.0
2016,Brønshøj-Husum,233686.0
2016,Indre By,313586.0
2016,Nørrebro,215768.0
2016,Valby,243206.0
2016,Vanløse,258804.0
2016,Vesterbro-Kongens Enghave,249427.0
2016,Østerbro,281654.0
2017,Amager Vest,265295.0
2017,Amager Øst,249198.0
2017,Bispebjerg,213437.0
2017,Brønshøj-Husum,238589.0
2017,Indre By,327174.0
2017,Nørrebro,222144.0
2017,Valby,247949.0
2017,Vanløse,264995.0
2017,Vesterbro-Kongens Enghave,258938.0
2017,Østerbro,289320.0
2018,Amager Vest,268517.0
2018,Amager Øst,252272.0
2018,Bispebjerg,217176.0
2018,Brønshøj-Husum,240617.0
2018,Indre By,331614.0
2018,Nørrebro,225146.0
2018,Valby,251798.0
2018,Vanløse,267566.0
2018,Vesterbro-Kongens Enghave,264961.0
2018,Østerbro,295369.0
2019,Amager Vest,271331.0
2019,Amager Øst,259083.0
2019,Bispebjerg,223526.0
2019,Brønshøj-Husum,251013.0
2019,Indre By,338008.0
2019,Nørrebro,232345.0
2019,Valby,257479.0
2019,Vanløse,274293.0
2019,Vesterbro-Kongens Enghave,273940.0
2019,Østerbro,304374.0
2020,Amager Vest,283319.0
2020,Amager Øst,272287.0
2020,Bispebjerg,235021.0
2020,Brønshøj-Husum,259405.0
2020,Indre By,351805.0
2020,Nørrebro,243874.0
2020,Valby,269905.0
2020,Vanløse,286314.0
2020,Vesterbro-Kongens Enghave,289859.0
2020,Østerbro,316826.0
